game,date,home,away,my_bet,ev_bet,actual,my_points,ev_points,diff
1,2026-06-11,Mexico,South Africa,1-0,1-0,2-0,1,1,0
2,2026-06-11,South Korea,Czech Republic,0-1,1-0,2-1,0,1,-1
3,2026-06-12,Canada,Bosnia and Herzegovina,1-0,1-0,1-1,0,0,0
4,2026-06-12,United States,Paraguay,0-1,0-1,4-1,0,0,0
5,2026-06-13,Qatar,Switzerland,0-2,0-2,1-1,0,0,0
6,2026-06-13,Brazil,Morocco,1-0,1-0,1-1,0,0,0
7,2026-06-13,Haiti,Scotland,0-1,0-1,0-1,3,3,0
8,2026-06-13,Australia,Turkey,0-1,1-0,2-0,0,1,-1
9,2026-06-14,Germany,Curaçao,1-0,2-0,7-1,1,1,0
10,2026-06-14,Netherlands,Japan,1-0,0-1,2-2,0,0,0
11,2026-06-14,Ivory Coast,Ecuador,0-1,0-1,1-0,0,0,0
12,2026-06-14,Sweden,Tunisia,1-0,1-0,5-1,1,1,0
14,2026-06-15,Spain,Cape Verde,3-0,2-0,0-0,0,0,0
13,2026-06-15,Belgium,Egypt,1-0,1-0,1-1,0,0,0
16,2026-06-15,Saudi Arabia,Uruguay,0-2,0-1,1-1,0,0,0
15,2026-06-15,Iran,New Zealand,1-0,1-0,2-2,0,0,0
17,2026-06-16,France,Senegal,2-0,1-0,3-1,1,1,0
18,2026-06-16,Iraq,Norway,0-2,0-1,1-4,1,1,0
19,2026-06-16,Argentina,Algeria,2-0,1-0,3-0,1,1,0
20,2026-06-16,Austria,Jordan,1-0,1-0,3-1,1,1,0
21,2026-06-17,Portugal,DR Congo,3-1,1-0,1-1,0,0,0
22,2026-06-17,England,Croatia,1-0,1-0,4-2,1,1,0
23,2026-06-17,Ghana,Panama,0-2,0-1,1-0,0,0,0
24,2026-06-17,Uzbekistan,Colombia,1-2,0-1,1-3,1,1,0
25,2026-06-18,Czech Republic,South Africa,1-0,1-0,1-1,0,0,0
26,2026-06-18,Switzerland,Bosnia and Herzegovina,2-0,1-0,4-1,1,1,0
27,2026-06-18,Canada,Qatar,3-1,2-0,6-0,1,1,0
28,2026-06-18,Mexico,South Korea,2-1,1-0,1-0,1,3,-2
29,2026-06-19,United States,Australia,1-1,0-1,2-0,0,0,0
30,2026-06-19,Scotland,Morocco,0-1,0-1,0-1,3,3,0
32,2026-06-19,Brazil,Haiti,2-0,2-0,3-0,1,1,0
31,2026-06-19,Turkey,Paraguay,1-1,0-1,0-1,0,3,-3
33,2026-06-20,Netherlands,Sweden,2-1,1-0,5-1,1,1,0
34,2026-06-20,Germany,Ivory Coast,3-1,1-0,2-1,1,1,0
35,2026-06-20,Ecuador,Curaçao,2-0,1-0,0-0,0,0,0
36,2026-06-20,Tunisia,Japan,0-3,0-1,0-4,1,1,0
37,2026-06-21,Spain,Saudi Arabia,2-0,2-0,4-0,1,1,0
38,2026-06-21,Belgium,Iran,1-0,1-0,0-0,0,0,0
39,2026-06-21,Uruguay,Cape Verde,1-0,1-0,2-2,0,0,0
40,2026-06-21,New Zealand,Egypt,0-1,0-1,1-3,1,1,0
41,2026-06-22,Argentina,Austria,2-1,1-0,2-0,1,1,0
42,2026-06-22,France,Iraq,3-0,2-0,3-0,3,1,2
43,2026-06-22,Norway,Senegal,2-1,1-0,3-2,1,1,0
44,2026-06-22,Jordan,Algeria,1-2,0-1,1-2,3,1,2
45,2026-06-23,Portugal,Uzbekistan,2-1,1-0,5-0,1,1,0
46,2026-06-23,England,Ghana,2-0,1-0,0-0,0,0,0
47,2026-06-23,Panama,Croatia,1-1,0-1,0-1,0,3,-3
48,2026-06-23,Colombia,DR Congo,1-0,1-0,1-0,3,3,0
49,2026-06-24,Switzerland,Canada,1-1,1-0,2-1,0,1,-1
50,2026-06-24,Bosnia and Herzegovina,Qatar,1-0,1-0,3-1,1,1,0
51,2026-06-24,Scotland,Brazil,1-2,0-1,0-3,1,1,0
52,2026-06-24,Morocco,Haiti,2-0,1-0,4-2,1,1,0
53,2026-06-24,South Africa,South Korea,0-1,0-1,1-0,0,0,0
54,2026-06-24,Czech Republic,Mexico,0-2,0-1,0-3,1,1,0
55,2026-06-25,Curaçao,Ivory Coast,0-2,0-1,0-2,3,1,2
56,2026-06-25,Ecuador,Germany,1-2,0-1,2-1,0,0,0
57,2026-06-25,Japan,Sweden,2-0,1-0,1-1,0,0,0
58,2026-06-25,Tunisia,Netherlands,0-1,0-2,1-3,1,1,0
59,2026-06-26,Paraguay,Australia,1-1,0-1,0-0,1,0,1
60,2026-06-26,Turkey,United States,1-2,0-1,3-2,0,0,0
61,2026-06-26,Norway,France,2-3,0-1,1-4,1,1,0
62,2026-06-26,Senegal,Iraq,1-0,1-0,5-0,1,1,0
63,2026-06-27,Uruguay,Spain,0-1,0-1,0-1,3,3,0
64,2026-06-27,Cape Verde,Saudi Arabia,0-0,0-1,0-0,3,0,3
65,2026-06-27,Egypt,Iran,1-0,1-0,1-1,0,0,0
66,2026-06-27,New Zealand,Belgium,0-1,0-1,1-5,1,1,0
68,2026-06-27,Ghana,Croatia,0-1,0-1,1-2,1,1,0
67,2026-06-27,England,Panama,1-0,2-0,2-0,1,3,-2
69,2026-06-27,Portugal,Colombia,1-0,0-1,0-0,0,0,0
70,2026-06-27,Uzbekistan,DR Congo,0-1,0-1,1-3,1,1,0
72,2026-06-27,Austria,Algeria,0-1,0-1,3-3,0,0,0
71,2026-06-27,Argentina,Jordan,2-0,2-0,3-1,1,1,0
73,2026-06-28,Canada,South Africa,1-0,1-0,1-0,5,5,0
76,2026-06-29,Japan,Brazil,0-1,0-1,1-2,2,2,0
74,2026-06-29,Paraguay,Germany,0-1,0-1,1-1,0,0,0
75,2026-06-30,Morocco,Netherlands,1-0,1-0,1-1,0,0,0
78,2026-06-30,Norway,Ivory Coast,1-0,1-0,2-1,2,2,0
77,2026-07-01,Sweden,France,0-2,0-2,0-3,2,2,0
79,2026-07-01,Ecuador,Mexico,0-1,0-1,0-2,2,2,0
80,2026-07-01,DR Congo,England,1-3,0-1,1-2,2,2,0
81,2026-07-02,Bosnia and Herzegovina,United States,0-3,0-1,0-2,2,2,0
82,2026-07-01,Senegal,Belgium,1-2,0-1,2-3,2,2,0
83,2026-07-02,Austria,Spain,0-2,0-1,0-3,2,2,0
84,2026-07-02,Croatia,Portugal,0-1,0-1,1-2,2,2,0
85,2026-07-03,Algeria,Switzerland,0-1,0-1,0-2,2,2,0
86,2026-07-03,Cape Verde,Argentina,0-2,0-2,2-3,2,2,0
87,2026-07-04,Ghana,Colombia,0-2,0-2,0-1,2,2,0
88,2026-07-03,Egypt,Australia,0-1,0-1,1-1,0,0,0
89,2026-07-04,Morocco,Canada,1-0,1-0,3-0,2,2,0
90,2026-07-04,France,Paraguay,2-0,1-0,1-0,2,5,-3
91,2026-07-05,Norway,Brazil,0-2,0-1,2-1,0,0,0
92,2026-07-06,England,Mexico,0-1,1-0,3-2,0,2,-2
93,2026-07-06,Spain,Portugal,1-0,1-0,1-0,5,5,0
94,2026-07-07,Belgium,United States,1-0,1-0,4-1,2,2,0
95,2026-07-07,Egypt,Argentina,0-2,0-1,2-3,2,2,0
96,2026-07-07,Colombia,Switzerland,1-0,1-0,0-0,0,0,0
97,2026-07-09,Morocco,France,0-1,0-1,0-2,4,4,0
98,2026-07-10,Belgium,Spain,0-1,0-1,1-2,4,4,0
99,2026-07-11,England,Norway,3-3,1-0,2-1,0,4,-4
100,2026-07-12,Switzerland,Argentina,0-2,0-1,1-3,4,4,0
101,2026-07-14,Spain,France,1-0,1-0,2-0,5,5,0
102,2026-07-15,Argentina,England,1-0,1-0,2-1,5,5,0
103,2026-07-18,France,England,2-1,1-0,4-6,0,0,0
104,2026-07-19,Spain,Argentina,1-0,1-0,1-0,15,15,0
